id_caja,tipo_caja,id_producto,peso,descripcion
0,0,0,3.3,1
1,3,0,6.7,1
2,1,0,9.9,1
3,2,0,7.2,1
4,4,0,4.7,0
5,0,1,3.9,1
6,1,1,10.7,1
7,1,10,2.8,1
8,2,10,4.3,0
9,0,10,4.5,0
10,2,100,2.6,0
11,4,100,6.7,0
12,3,100,6.8,1
13,0,100,6.2,1
14,1,100,10.1,0
15,0,1000,6.6,1
16,3,1000,9.0,0
17,2,1000,10.9,0
18,1,1000,5.2,0
19,1,1001,5.7,0
20,0,1001,10.2,1
21,2,1001,10.7,0
22,0,1002,4.1,1
23,2,1002,3.6,0
24,1,1002,8.8,1
25,3,1002,6.1,0
26,2,1003,4.1,1
27,0,1003,2.8,0
28,1,1003,8.8,0
29,4,1003,4.3,0
30,3,1003,2.7,1
31,0,1004,3.9,0
32,2,1005,8.4,1
33,4,1005,8.9,1
34,3,1005,3.9,0
35,0,1005,2.5,1
36,1,1005,1.4,0
37,0,1006,10.2,1
38,1,1006,4.7,1
39,2,1006,4.8,1
40,0,1007,10.3,1
41,1,1007,3.4,1
42,0,1008,4.3,0
43,1,1009,5.2,1
44,4,1009,9.2,1
45,2,1009,4.8,1
46,3,1009,3.9,1
47,0,1009,2.9,1
48,0,101,1.8,1
49,1,101,2.7,1
50,2,101,2.8,0
51,1,1010,8.9,0
52,0,1010,8.3,1
53,0,1011,6.8,1
54,1,1011,7.7,1
55,4,1011,1.4,1
56,3,1011,9.9,0
57,2,1011,3.4,0
58,0,1012,1.3,0
59,2,1013,2.8,0
60,1,1013,4.4,1
61,0,1013,9.3,1
62,4,1014,4.1,0
63,0,1014,5.5,1
64,3,1014,4.5,1
65,2,1014,7.5,0
66,1,1014,5.7,0
67,1,1015,1.9,0
68,3,1015,4.8,0
69,4,1015,9.7,0
70,0,1015,2.5,0
71,2,1015,4.0,0
72,0,1016,4.2,0
73,2,1016,9.4,1
74,3,1016,7.9,0
75,4,1016,7.5,0
76,1,1016,9.6,1
77,1,1017,5.2,1
78,3,1017,1.3,0
79,2,1017,3.3,1
80,0,1017,4.1,1
81,4,1017,3.7,0
82,0,1018,3.9,1
83,2,1018,9.2,1
84,3,1018,1.6,1
85,1,1018,8.8,1
86,1,1019,8.4,1
87,0,1019,6.0,1
88,2,1019,1.7,1
89,3,102,7.7,0
90,2,102,9.1,0
91,0,102,2.9,0
92,1,102,2.9,1
93,0,1020,7.2,1
94,1,1020,5.2,1
95,3,1021,8.8,1
96,4,1021,10.3,1
97,1,1021,2.5,0
98,0,1021,1.4,1
99,2,1021,8.4,0
100,2,1022,7.9,1
101,1,1022,1.0,0
102,3,1022,7.3,1
103,0,1022,9.3,0
104,0,1023,2.2,0
105,2,1023,6.0,0
106,1,1023,6.5,1
107,1,1024,10.2,1
108,3,1024,5.9,1
109,0,1024,5.9,1
110,2,1024,7.2,0
111,0,1025,7.3,0
112,1,1025,7.3,1
113,2,1025,5.6,0
114,4,1026,8.9,1
115,3,1026,3.2,0
116,1,1026,4.7,1
117,0,1026,2.6,1
118,2,1026,7.3,0
119,0,1027,9.4,1
120,4,1027,8.3,1
121,3,1027,7.7,1
122,2,1027,4.2,0
123,1,1027,6.5,1
124,2,1028,2.1,1
125,0,1028,2.1,1
126,3,1028,6.6,1
127,4,1028,9.2,1
128,1,1028,8.7,0
129,0,1029,9.4,0
130,1,1029,10.6,1
131,2,1029,10.4,1
132,2,103,6.7,0
133,1,103,2.0,0
134,3,103,3.4,0
135,0,103,3.3,0
136,1,1030,8.3,1
137,0,1030,7.3,1
138,0,1031,1.0,0
139,2,1031,9.9,0
140,3,1031,8.1,1
141,1,1031,4.8,1
142,1,1032,5.9,0
143,2,1032,3.0,1
144,4,1032,8.0,1
145,0,1032,4.0,0
146,3,1032,9.8,1
147,0,1033,5.4,0
148,1,1033,7.6,1
149,0,1034,1.7,1
150,1,1034,9.8,1
151,1,1035,8.1,0
152,0,1035,6.4,1
153,0,1036,5.5,0
154,0,1037,7.4,1
155,2,1037,4.8,1
156,1,1037,9.7,1
157,1,1038,2.9,0
158,0,1038,1.6,0
159,2,1038,4.4,1
160,1,1039,10.1,0
161,0,1039,6.6,1
162,0,104,9.2,0
163,0,1040,5.9,0
164,1,1041,2.0,0
165,3,1041,2.9,1
166,0,1041,5.8,1
167,4,1041,7.1,0
168,2,1041,4.3,0
169,0,1042,7.4,0
170,3,1042,4.5,0
171,2,1042,1.2,0
172,1,1042,8.1,1
173,3,1043,2.6,0
174,0,1043,3.9,0
175,4,1043,10.4,1
176,2,1043,5.4,1
177,1,1043,3.2,1
178,0,1044,1.4,1
179,1,1044,9.6,0
180,2,1044,6.7,0
181,2,1045,9.6,0
182,0,1045,8.3,0
183,1,1045,2.6,0
184,0,1046,2.6,0
185,2,1046,2.7,1
186,1,1046,9.8,0
187,2,1047,4.3,0
188,1,1047,7.4,1
189,3,1047,2.3,1
190,0,1047,7.3,0
191,0,1048,5.8,1
192,0,1049,4.4,1
193,0,105,10.3,1
