id_producto,nombre,precio,numero_cajas,categoria
0,FREKVENS,212000,5,living
1,NORDVIKEN,796000,2,living
10,FRANKLIN,119200,3,living
100,BUSUNGE,636000,5,dormitorio
1000,VASSVIKEN,60000,4,living
1001,BESTÅ,2184000,3,living
1002,MÖLLARP,13600,4,living
1003,BESTÅ,60000,5,living
1004,BAGGANÄS,21600,1,living
1005,SINDVIK,120000,5,living
1006,KALLRÖR,36000,3,living
1007,RIKSVIKEN,180000,2,living
1008,NOTVIKEN,80000,1,living
1009,LAXVIKEN,140000,5,living
101,MARKERAD,384000,3,dormitorio
1010,BESTÅ,1176000,2,living
1011,MALSJÖ,1212800,5,living
1012,BESTÅ,120000,1,living
1013,BJÄRRED,39200,3,living
1014,HÄLLAN,480000,5,living
1015,BESTÅ,2168000,5,living
1016,LIXHULT,554400,5,living
1017,HAVSTA,2384000,5,living
1018,SELSVIKEN,48000,4,living
1019,BESTÅ,80000,3,living
102,GJÖRA,1312000,4,dormitorio
1020,BESTÅ,1864000,2,living
1021,HAVSTA,2944000,5,living
1022,EKET,898400,4,living
1023,HAVSTA,1116000,3,living
1024,BESTÅ / EKET,1375200,4,living
1025,BESTÅ,2672000,3,living
1026,HAVSTA,3816000,5,living
1027,LIXHULT,237600,5,living
1028,BEKANT,831200,5,living
1029,BEKANT,960000,3,living
103,UTÅKER,556000,4,dormitorio
1030,BILLY / OXBERG,1388000,2,living
1031,HÄLLAN,1400000,4,living
1032,UPPLEVA,116000,5,living
1033,BILLSBRO,20000,2,living
1034,BILLSBRO,15200,2,living
1035,KALLVIKEN,136000,2,living
1036,HACKÅS,40000,1,living
1037,ORRNÄS,23200,3,living
1038,BILLSBRO,28000,3,living
1039,MOSSARYD,23200,2,living
104,BRYNE,39200,1,dormitorio
1040,ORRNÄS,13600,1,living
1041,SKÄRHAMN,31200,5,living
1042,HEMNES,2132800,4,living
1043,IDÅSEN,1076000,5,living
1044,KALLRÖR,28000,3,living
1045,GALANT,1216000,3,living
1046,BAGGANÄS,17600,3,living
1047,EKET,36000,4,living
1048,GLASSVIK,156000,1,living
1049,LIXHULT,195200,1,living
105,KURA,596000,1,dormitorio
1050,BILLSBRO,36000,4,living
1051,LIXHULT,928000,5,living
1052,BERGHALLA,17600,4,living
1053,HAVSTA,2020000,3,living
1054,BILLSBRO,55200,1,living
1055,HÄLLAN,40000,1,living
1056,STOCKVIKEN,168000,2,living
